From,To,Length(m),Azimuth(deg),Clino(deg)
72@c_o_w_ent_to_scumring_mainline_2.clearwater_master,73@c_o_w_ent_to_scumring_mainline_2.clearwater_master,3.46,307.16,32.81
73@c_o_w_ent_to_scumring_mainline_2.clearwater_master,74@c_o_w_ent_to_scumring_mainline_2.clearwater_master,13.61,257.34,12.88
74@c_o_w_ent_to_scumring_mainline_2.clearwater_master,75@c_o_w_ent_to_scumring_mainline_2.clearwater_master,18.99,292.89,-19.12
75@c_o_w_ent_to_scumring_mainline_2.clearwater_master,76@c_o_w_ent_to_scumring_mainline_2.clearwater_master,21.84,291.41,-15.79
76@c_o_w_ent_to_scumring_mainline_2.clearwater_master,77@c_o_w_ent_to_scumring_mainline_2.clearwater_master,32.60,260.86,-4.15
77@c_o_w_ent_to_scumring_mainline_2.clearwater_master,78@c_o_w_ent_to_scumring_mainline_2.clearwater_master,5.06,297.78,-26.30
78@c_o_w_ent_to_scumring_mainline_2.clearwater_master,79@c_o_w_ent_to_scumring_mainline_2.clearwater_master,14.79,222.23,-5.54
79@c_o_w_ent_to_scumring_mainline_2.clearwater_master,80@c_o_w_ent_to_scumring_mainline_2.clearwater_master,19.48,189.38,2.79
80@c_o_w_ent_to_scumring_mainline_2.clearwater_master,81@c_o_w_ent_to_scumring_mainline_2.clearwater_master,19.99,187.72,-4.08
81@c_o_w_ent_to_scumring_mainline_2.clearwater_master,82@c_o_w_ent_to_scumring_mainline_2.clearwater_master,30.79,238.77,-3.27
82@c_o_w_ent_to_scumring_mainline_2.clearwater_master,83@c_o_w_ent_to_scumring_mainline_2.clearwater_master,18.13,168.26,-3.40
83@c_o_w_ent_to_scumring_mainline_2.clearwater_master,84@c_o_w_ent_to_scumring_mainline_2.clearwater_master,12.63,244.22,1.47
84@c_o_w_ent_to_scumring_mainline_2.clearwater_master,85@c_o_w_ent_to_scumring_mainline_2.clearwater_master,21.41,239.10,-6.69
85@c_o_w_ent_to_scumring_mainline_2.clearwater_master,86@c_o_w_ent_to_scumring_mainline_2.clearwater_master,45.07,195.00,6.09
86@c_o_w_ent_to_scumring_mainline_2.clearwater_master,87@c_o_w_ent_to_scumring_mainline_2.clearwater_master,14.29,252.51,-16.82
87@c_o_w_ent_to_scumring_mainline_2.clearwater_master,88@c_o_w_ent_to_scumring_mainline_2.clearwater_master,30.85,246.73,-25.32
88@c_o_w_ent_to_scumring_mainline_2.clearwater_master,89@c_o_w_ent_to_scumring_mainline_2.clearwater_master,45.60,258.97,3.52
89@c_o_w_ent_to_scumring_mainline_2.clearwater_master,90@c_o_w_ent_to_scumring_mainline_2.clearwater_master,8.75,259.35,-13.88
90@c_o_w_ent_to_scumring_mainline_2.clearwater_master,91@c_o_w_ent_to_scumring_mainline_2.clearwater_master,10.28,357.60,-30.41
91@c_o_w_ent_to_scumring_mainline_2.clearwater_master,92@c_o_w_ent_to_scumring_mainline_2.clearwater_master,4.82,274.80,-25.23
92@c_o_w_ent_to_scumring_mainline_2.clearwater_master,93@c_o_w_ent_to_scumring_mainline_2.clearwater_master,6.23,201.16,-7.95
93@c_o_w_ent_to_scumring_mainline_2.clearwater_master,94@c_o_w_ent_to_scumring_mainline_2.clearwater_master,4.58,324.01,-49.56
94@c_o_w_ent_to_scumring_mainline_2.clearwater_master,95@c_o_w_ent_to_scumring_mainline_2.clearwater_master,3.35,195.17,-46.13
95@c_o_w_ent_to_scumring_mainline_2.clearwater_master,96@c_o_w_ent_to_scumring_mainline_2.clearwater_master,3.16,6.47,-20.47
96@c_o_w_ent_to_scumring_mainline_2.clearwater_master,97@c_o_w_ent_to_scumring_mainline_2.clearwater_master,4.28,77.21,-10.88
97@c_o_w_ent_to_scumring_mainline_2.clearwater_master,98@c_o_w_ent_to_scumring_mainline_2.clearwater_master,3.73,338.69,-29.39
98@c_o_w_ent_to_scumring_mainline_2.clearwater_master,99@c_o_w_ent_to_scumring_mainline_2.clearwater_master,6.00,280.57,-47.44
99@c_o_w_ent_to_scumring_mainline_2.clearwater_master,100@c_o_w_ent_to_scumring_mainline_2.clearwater_master,5.07,238.73,16.36
100@c_o_w_ent_to_scumring_mainline_2.clearwater_master,101@c_o_w_ent_to_scumring_mainline_2.clearwater_master,30.72,220.97,1.72
101@c_o_w_ent_to_scumring_mainline_2.clearwater_master,102@c_o_w_ent_to_scumring_mainline_2.clearwater_master,26.78,240.30,-3.08
102@c_o_w_ent_to_scumring_mainline_2.clearwater_master,103@c_o_w_ent_to_scumring_mainline_2.clearwater_master,20.41,262.81,0.08
103@c_o_w_ent_to_scumring_mainline_2.clearwater_master,104@c_o_w_ent_to_scumring_mainline_2.clearwater_master,26.21,254.34,-3.42
104@c_o_w_ent_to_scumring_mainline_2.clearwater_master,105@c_o_w_ent_to_scumring_mainline_2.clearwater_master,47.45,251.07,0.89
105@c_o_w_ent_to_scumring_mainline_2.clearwater_master,106@c_o_w_ent_to_scumring_mainline_2.clearwater_master,29.06,251.60,-2.10
106@c_o_w_ent_to_scumring_mainline_2.clearwater_master,107@c_o_w_ent_to_scumring_mainline_2.clearwater_master,33.55,208.16,0.64
107@c_o_w_ent_to_scumring_mainline_2.clearwater_master,108@c_o_w_ent_to_scumring_mainline_2.clearwater_master,14.38,201.58,-2.52
108@c_o_w_ent_to_scumring_mainline_2.clearwater_master,109@c_o_w_ent_to_scumring_mainline_2.clearwater_master,14.64,286.56,3.76
109@c_o_w_ent_to_scumring_mainline_2.clearwater_master,110@c_o_w_ent_to_scumring_mainline_2.clearwater_master,22.40,260.00,-2.76
110@c_o_w_ent_to_scumring_mainline_2.clearwater_master,111@c_o_w_ent_to_scumring_mainline_2.clearwater_master,8.98,256.91,6.13
111@c_o_w_ent_to_scumring_mainline_2.clearwater_master,112@c_o_w_ent_to_scumring_mainline_2.clearwater_master,26.13,222.46,-4.00
112@c_o_w_ent_to_scumring_mainline_2.clearwater_master,113@c_o_w_ent_to_scumring_mainline_2.clearwater_master,37.79,198.34,-0.99
113@c_o_w_ent_to_scumring_mainline_2.clearwater_master,114@c_o_w_ent_to_scumring_mainline_2.clearwater_master,17.63,183.97,-0.12
114@c_o_w_ent_to_scumring_mainline_2.clearwater_master,115@c_o_w_ent_to_scumring_mainline_2.clearwater_master,9.34,207.90,3.14
115@c_o_w_ent_to_scumring_mainline_2.clearwater_master,116@c_o_w_ent_to_scumring_mainline_2.clearwater_master,38.25,190.74,-24.41
116@c_o_w_ent_to_scumring_mainline_2.clearwater_master,117@c_o_w_ent_to_scumring_mainline_2.clearwater_master,10.74,311.19,21.10
117@c_o_w_ent_to_scumring_mainline_2.clearwater_master,118@c_o_w_ent_to_scumring_mainline_2.clearwater_master,7.56,247.12,-7.40
118@c_o_w_ent_to_scumring_mainline_2.clearwater_master,119@c_o_w_ent_to_scumring_mainline_2.clearwater_master,21.76,203.89,3.42
119@c_o_w_ent_to_scumring_mainline_2.clearwater_master,120@c_o_w_ent_to_scumring_mainline_2.clearwater_master,27.00,195.33,14.28
120@c_o_w_ent_to_scumring_mainline_2.clearwater_master,121@c_o_w_ent_to_scumring_mainline_2.clearwater_master,27.78,209.22,2.47
121@c_o_w_ent_to_scumring_mainline_2.clearwater_master,122@c_o_w_ent_to_scumring_mainline_2.clearwater_master,30.72,193.19,-2.00
122@c_o_w_ent_to_scumring_mainline_2.clearwater_master,123@c_o_w_ent_to_scumring_mainline_2.clearwater_master,15.81,264.15,-1.47
123@c_o_w_ent_to_scumring_mainline_2.clearwater_master,124@c_o_w_ent_to_scumring_mainline_2.clearwater_master,23.38,226.20,8.66
124@c_o_w_ent_to_scumring_mainline_2.clearwater_master,125@c_o_w_ent_to_scumring_mainline_2.clearwater_master,10.90,346.84,25.84
125@c_o_w_ent_to_scumring_mainline_2.clearwater_master,126@c_o_w_ent_to_scumring_mainline_2.clearwater_master,23.72,340.00,12.75
126@c_o_w_ent_to_scumring_mainline_2.clearwater_master,127@c_o_w_ent_to_scumring_mainline_2.clearwater_master,8.30,24.50,-14.14
127@c_o_w_ent_to_scumring_mainline_2.clearwater_master,128@c_o_w_ent_to_scumring_mainline_2.clearwater_master,9.66,350.37,3.05
128@c_o_w_ent_to_scumring_mainline_2.clearwater_master,129@c_o_w_ent_to_scumring_mainline_2.clearwater_master,17.04,358.08,-19.28
129@c_o_w_ent_to_scumring_mainline_2.clearwater_master,130@c_o_w_ent_to_scumring_mainline_2.clearwater_master,7.32,328.43,-6.87
130@c_o_w_ent_to_scumring_mainline_2.clearwater_master,131@c_o_w_ent_to_scumring_mainline_2.clearwater_master,9.97,273.63,28.79
131@c_o_w_ent_to_scumring_mainline_2.clearwater_master,132@c_o_w_ent_to_scumring_mainline_2.clearwater_master,9.16,276.38,4.33
132@c_o_w_ent_to_scumring_mainline_2.clearwater_master,133@c_o_w_ent_to_scumring_mainline_2.clearwater_master,8.29,22.47,-18.29
133@c_o_w_ent_to_scumring_mainline_2.clearwater_master,134@c_o_w_ent_to_scumring_mainline_2.clearwater_master,7.92,21.67,-7.68
134@c_o_w_ent_to_scumring_mainline_2.clearwater_master,135@c_o_w_ent_to_scumring_mainline_2.clearwater_master,23.67,12.65,-22.15
135@c_o_w_ent_to_scumring_mainline_2.clearwater_master,136@c_o_w_ent_to_scumring_mainline_2.clearwater_master,41.35,250.95,0.29
136@c_o_w_ent_to_scumring_mainline_2.clearwater_master,137@c_o_w_ent_to_scumring_mainline_2.clearwater_master,17.18,205.46,2.00
137@c_o_w_ent_to_scumring_mainline_2.clearwater_master,138@c_o_w_ent_to_scumring_mainline_2.clearwater_master,35.25,226.58,-2.07
138@c_o_w_ent_to_scumring_mainline_2.clearwater_master,139@c_o_w_ent_to_scumring_mainline_2.clearwater_master,12.43,241.66,0.09
139@c_o_w_ent_to_scumring_mainline_2.clearwater_master,141@c_o_w_ent_to_scumring_mainline_2.clearwater_master,24.56,225.18,5.04
11@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,34.57,312.37,11.29
13@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,58.74,291.01,14.98
17@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,53.07,134.36,36.00
19@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,66.25,158.60,33.37
27@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,22.47,118.61,27.56
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,9.27,149.25,70.19
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,1.10,225.27,-72.89
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,7.96,109.55,10.07
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,53.46,98.29,32.91
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,34.94,155.24,33.47
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,45.57,123.54,38.81
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,34.29,177.21,30.73
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,37.38,187.41,26.92
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,32.66,76.91,30.06
29@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,2.57,287.87,11.30
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,9.78,192.68,81.00
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,2.31,265.44,-58.62
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,21.89,113.09,31.05
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,13.68,260.34,19.93
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,36.78,299.67,9.20
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,33.74,318.69,11.67
31@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,32.00,332.29,13.98
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,6.62,175.81,76.77
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,32.31,122.74,21.79
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,40.37,183.07,6.60
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,25.78,159.77,10.34
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,26.86,125.74,19.44
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,33.79,91.49,29.35
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,40.43,71.83,27.70
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,35.35,22.58,18.34
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,11.28,270.32,-7.05
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,6.88,231.12,-39.20
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,9.92,245.01,-2.66
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,12.87,285.92,-1.22
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,35.52,301.14,7.14
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,53.09,297.10,15.20
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,41.76,321.72,18.93
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,43.50,333.23,20.34
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,41.75,356.22,21.10
43@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,34.56,11.12,21.18
45@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,39.51,335.31,-10.30
45@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,32.00,303.60,-14.14
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,8.82,209.00,80.74
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,1.14,182.35,-72.06
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,20.42,159.96,29.97
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,7.96,31.29,19.53
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,23.70,3.17,15.60
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,19.35,298.36,-26.03
54@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,29.71,239.94,-3.96
85@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,44.35,7.97,-8.04
85@c_o_w_ent_to_scumring_mainline_2.clearwater_master,-,50.54,2.79,-8.99
0@downdraught.clearwater_master,1@downdraught.clearwater_master,18.39,251.45,-21.29
1@downdraught.clearwater_master,2@downdraught.clearwater_master,12.10,268.62,-22.88
2@downdraught.clearwater_master,3@downdraught.clearwater_master,8.92,256.72,-22.96
3@downdraught.clearwater_master,4@downdraught.clearwater_master,14.90,132.07,-28.97
4@downdraught.clearwater_master,5@downdraught.clearwater_master,15.88,234.15,-28.11
5@downdraught.clearwater_master,6@downdraught.clearwater_master,10.02,255.75,-29.33
5@downdraught.clearwater_master,7@downdraught.clearwater_master,9.21,108.83,-13.28
7@downdraught.clearwater_master,8@downdraught.clearwater_master,10.31,72.03,6.95
8@downdraught.clearwater_master,9@downdraught.clearwater_master,28.46,71.43,6.86
9@downdraught.clearwater_master,10@downdraught.clearwater_master,22.09,87.31,-0.51
3@downdraught.clearwater_master,11@downdraught.clearwater_master,9.39,255.54,-29.38
11@downdraught.clearwater_master,12@downdraught.clearwater_master,8.20,216.88,-41.66
12@downdraught.clearwater_master,13@downdraught.clearwater_master,21.98,259.76,-32.94
0@downdraught.clearwater_master,14@downdraught.clearwater_master,8.87,17.11,58.39
14@downdraught.clearwater_master,15@downdraught.clearwater_master,15.17,73.00,21.16
15@downdraught.clearwater_master,16@downdraught.clearwater_master,10.18,325.83,61.16
16@downdraught.clearwater_master,17@downdraught.clearwater_master,10.16,305.73,64.74
17@downdraught.clearwater_master,18@downdraught.clearwater_master,4.76,299.01,43.99
18@downdraught.clearwater_master,19@downdraught.clearwater_master,9.01,246.56,19.68
19@downdraught.clearwater_master,20@downdraught.clearwater_master,3.96,285.18,51.84
20@downdraught.clearwater_master,21@downdraught.clearwater_master,11.19,322.11,33.97
21@downdraught.clearwater_master,22@downdraught.clearwater_master,5.50,269.37,18.83
15@downdraught.clearwater_master,-,13.00,354.74,73.93
15@downdraught.clearwater_master,-,0.35,132.42,-84.95
15@downdraught.clearwater_master,-,2.13,333.32,9.40
15@downdraught.clearwater_master,-,1.32,129.63,11.21
4@downdraught.clearwater_master,-,4.95,212.44,70.09
4@downdraught.clearwater_master,-,10.16,198.01,46.70
4@downdraught.clearwater_master,-,1.81,227.58,-86.56
4@downdraught.clearwater_master,-,2.72,103.17,20.01
4@downdraught.clearwater_master,-,8.75,135.79,23.19
4@downdraught.clearwater_master,-,7.74,177.64,-20.16
4@downdraught.clearwater_master,-,4.63,233.62,-28.25
4@downdraught.clearwater_master,-,4.55,264.58,22.26
5@downdraught.clearwater_master,-,4.30,259.80,66.50
5@downdraught.clearwater_master,-,3.61,148.69,-80.13
5@downdraught.clearwater_master,-,4.75,154.56,3.71
5@downdraught.clearwater_master,-,8.74,162.34,41.35
5@downdraught.clearwater_master,-,9.06,109.67,-12.20
5@downdraught.clearwater_master,-,3.82,317.71,4.53
6@downdraught.clearwater_master,-,5.22,270.90,75.91
6@downdraught.clearwater_master,-,4.81,117.45,77.96
6@downdraught.clearwater_master,-,2.22,296.80,-66.34
6@downdraught.clearwater_master,-,3.49,145.68,-81.38
6@downdraught.clearwater_master,-,6.41,180.32,21.19
6@downdraught.clearwater_master,-,30.76,251.16,-37.66
6@downdraught.clearwater_master,-,4.86,161.84,0.05
6@downdraught.clearwater_master,-,2.73,335.90,24.99
6@downdraught.clearwater_master,-,33.50,264.84,-34.75
6@downdraught.clearwater_master,-,2.95,331.12,6.21
8@downdraught.clearwater_master,-,5.00,51.62,81.16
8@downdraught.clearwater_master,-,15.94,321.80,61.52
8@downdraught.clearwater_master,-,1.34,1.82,-78.70
8@downdraught.clearwater_master,-,3.90,339.61,15.37
8@downdraught.clearwater_master,-,0.40,162.25,-1.60
10@downdraught.clearwater_master,-,2.34,45.37,75.06
10@downdraught.clearwater_master,-,1.10,323.17,-82.52
10@downdraught.clearwater_master,-,3.50,356.93,3.66
10@downdraught.clearwater_master,-,10.19,57.47,32.65
10@downdraught.clearwater_master,-,11.27,64.25,-7.37
10@downdraught.clearwater_master,-,15.81,86.35,-21.74
10@downdraught.clearwater_master,-,0.23,177.69,0.44
100@downdraughtsnowslope.clearwater_master,101@downdraughtsnowslope.clearwater_master,4.53,239.28,-53.61
101@downdraughtsnowslope.clearwater_master,100@downdraughtsnowslope.clearwater_master,4.55,65.71,46.41
101@downdraughtsnowslope.clearwater_master,102@downdraughtsnowslope.clearwater_master,15.42,219.97,-36.34
102@downdraughtsnowslope.clearwater_master,103@downdraughtsnowslope.clearwater_master,6.39,242.40,-59.89
103@downdraughtsnowslope.clearwater_master,104@downdraughtsnowslope.clearwater_master,11.90,318.35,-53.38
104@downdraughtsnowslope.clearwater_master,105@downdraughtsnowslope.clearwater_master,8.79,337.85,-31.15
0@helic.clearwater_master,-,0.48,231.71,-1.89
0@helic.clearwater_master,-,2.16,31.01,-10.89
0@helic.clearwater_master,-,0.72,196.86,84.50
0@helic.clearwater_master,-,1.73,176.43,-79.27
0@helic.clearwater_master,1@helic.clearwater_master,4.79,331.29,-25.46
0@helic.clearwater_master,-,1.68,40.55,9.76
0@helic.clearwater_master,-,0.21,239.31,2.16
0@helic.clearwater_master,-,0.34,97.13,84.52
0@helic.clearwater_master,-,1.87,124.79,-84.24
0@helic.clearwater_master,2@helic.clearwater_master,5.80,160.97,-30.14
0@helic.clearwater_master,-,2.16,354.61,0.42
0@helic.clearwater_master,-,1.01,166.75,-0.06
0@helic.clearwater_master,-,0.76,322.82,79.00
0@helic.clearwater_master,-,1.92,46.46,-80.02
0@helic.clearwater_master,3@helic.clearwater_master,8.04,66.83,29.82
3@helic.clearwater_master,-,2.82,328.20,-3.78
3@helic.clearwater_master,-,0.38,141.34,-3.94
3@helic.clearwater_master,-,1.58,1.95,69.38
3@helic.clearwater_master,-,1.32,67.41,-83.55
3@helic.clearwater_master,4@helic.clearwater_master,4.97,24.44,31.13
4@helic.clearwater_master,-,0.36,301.43,-2.55
4@helic.clearwater_master,-,2.78,122.26,4.83
4@helic.clearwater_master,-,2.07,192.23,61.45
4@helic.clearwater_master,-,1.78,173.63,-81.83
4@helic.clearwater_master,5@helic.clearwater_master,5.57,118.45,25.33
5@helic.clearwater_master,-,1.90,41.91,16.83
5@helic.clearwater_master,-,0.64,212.92,-25.07
5@helic.clearwater_master,-,3.25,96.92,80.02
5@helic.clearwater_master,-,0.96,318.81,-86.20
1@squeezy_bypass.clearwater_master,2@squeezy_bypass.clearwater_master,12.83,345.00,-36.00
2@squeezy_bypass.clearwater_master,3@squeezy_bypass.clearwater_master,12.50,262.00,-34.00
3@squeezy_bypass.clearwater_master,4@squeezy_bypass.clearwater_master,10.30,353.60,-28.00
4@squeezy_bypass.clearwater_master,5@squeezy_bypass.clearwater_master,11.60,225.30,-13.10
5@squeezy_bypass.clearwater_master,6@squeezy_bypass.clearwater_master,5.70,218.00,-11.00
6@squeezy_bypass.clearwater_master,7@squeezy_bypass.clearwater_master,6.17,192.00,-16.00
7@squeezy_bypass.clearwater_master,8@squeezy_bypass.clearwater_master,27.56,119.00,-82.40
8@squeezy_bypass.clearwater_master,9@squeezy_bypass.clearwater_master,5.54,296.00,19.00
214@and_finally.clearwater_master,-,13.65,92.93,4.71
214@and_finally.clearwater_master,-,11.41,248.37,11.70
214@and_finally.clearwater_master,-,7.34,162.89,71.13
214@and_finally.clearwater_master,-,0.64,49.82,-68.30
214@and_finally.clearwater_master,403@and_finally.clearwater_master,32.22,117.31,9.13
403@and_finally.clearwater_master,-,6.59,354.86,1.22
403@and_finally.clearwater_master,-,4.37,179.18,24.76
403@and_finally.clearwater_master,-,6.82,70.07,71.19
403@and_finally.clearwater_master,-,0.87,75.84,-58.48
403@and_finally.clearwater_master,-,16.85,306.49,-8.08
403@and_finally.clearwater_master,-,15.03,245.18,-5.08
403@and_finally.clearwater_master,-,39.76,286.52,-4.62
403@and_finally.clearwater_master,404@and_finally.clearwater_master,31.64,60.67,24.65
404@and_finally.clearwater_master,-,4.19,311.80,50.62
404@and_finally.clearwater_master,-,13.06,154.32,-15.80
404@and_finally.clearwater_master,-,6.60,129.21,86.77
404@and_finally.clearwater_master,-,0.79,80.23,-56.98
404@and_finally.clearwater_master,405@and_finally.clearwater_master,15.90,78.33,57.86
404@and_finally.clearwater_master,406@and_finally.clearwater_master,12.39,123.28,-22.66
406@and_finally.clearwater_master,-,6.74,1.73,16.53
406@and_finally.clearwater_master,-,7.59,157.42,-9.18
406@and_finally.clearwater_master,-,6.83,48.23,80.38
406@and_finally.clearwater_master,-,1.31,86.33,-49.03
406@and_finally.clearwater_master,-,16.14,51.61,17.12
406@and_finally.clearwater_master,-,23.02,82.70,-9.57
406@and_finally.clearwater_master,-,7.06,122.62,30.12
406@and_finally.clearwater_master,-,11.13,355.97,50.23
406@and_finally.clearwater_master,-,16.61,56.82,-27.84
406@and_finally.clearwater_master,-,32.19,97.53,-29.26
406@and_finally.clearwater_master,407@and_finally.clearwater_master,10.54,96.91,-28.93
407@and_finally.clearwater_master,-,11.05,351.86,7.13
407@and_finally.clearwater_master,-,5.03,151.24,31.83
407@and_finally.clearwater_master,-,8.07,326.69,79.54
407@and_finally.clearwater_master,-,6.51,84.58,-50.88
407@and_finally.clearwater_master,408@and_finally.clearwater_master,16.68,93.89,-30.64
408@and_finally.clearwater_master,-,2.41,76.41,-6.26
408@and_finally.clearwater_master,-,6.46,187.72,-24.74
408@and_finally.clearwater_master,-,3.02,215.75,77.30
408@and_finally.clearwater_master,-,1.39,154.32,-62.62
408@and_finally.clearwater_master,-,28.26,313.84,53.67
408@and_finally.clearwater_master,-,17.93,12.86,43.35
408@and_finally.clearwater_master,409@and_finally.clearwater_master,11.04,112.93,-37.04
409@and_finally.clearwater_master,-,4.15,2.80,5.25
409@and_finally.clearwater_master,-,6.67,190.77,-11.05
409@and_finally.clearwater_master,-,1.87,190.63,78.29
409@and_finally.clearwater_master,-,1.32,137.09,-70.23
409@and_finally.clearwater_master,410@and_finally.clearwater_master,14.41,100.31,-11.52
410@and_finally.clearwater_master,-,8.02,22.80,-6.77
410@and_finally.clearwater_master,-,3.32,183.66,-13.39
410@and_finally.clearwater_master,-,0.80,105.01,72.29
410@and_finally.clearwater_master,-,1.44,137.81,-74.28
410@and_finally.clearwater_master,411@and_finally.clearwater_master,20.33,86.60,-27.73
411@and_finally.clearwater_master,-,4.07,345.25,5.92
411@and_finally.clearwater_master,-,5.73,149.98,-21.93
411@and_finally.clearwater_master,-,1.58,80.99,81.63
411@and_finally.clearwater_master,-,1.11,80.03,-44.93
411@and_finally.clearwater_master,412@and_finally.clearwater_master,8.59,92.48,1.93
412@and_finally.clearwater_master,-,1.89,6.58,17.87
412@and_finally.clearwater_master,-,1.80,153.75,-15.54
412@and_finally.clearwater_master,-,1.98,83.81,73.96
412@and_finally.clearwater_master,-,2.39,112.52,-68.33
412@and_finally.clearwater_master,413@and_finally.clearwater_master,5.38,108.35,-39.11
413@and_finally.clearwater_master,-,1.27,180.19,14.31
413@and_finally.clearwater_master,-,1.27,180.96,9.15
413@and_finally.clearwater_master,-,7.21,281.24,62.45
413@and_finally.clearwater_master,-,0.74,241.40,-37.03
414@and_finally.clearwater_master,413@and_finally.clearwater_master,8.26,264.69,1.17
414@and_finally.clearwater_master,-,2.91,358.21,0.69
414@and_finally.clearwater_master,-,1.16,160.75,7.93
414@and_finally.clearwater_master,-,4.63,12.74,70.79
414@and_finally.clearwater_master,-,1.12,43.24,-79.34
414@and_finally.clearwater_master,-,17.44,317.61,77.79
414@and_finally.clearwater_master,-,12.97,69.96,74.61
414@and_finally.clearwater_master,-,7.32,90.71,48.27
414@and_finally.clearwater_master,-,6.33,92.96,9.57
414@and_finally.clearwater_master,-,17.63,74.03,3.68
414@and_finally.clearwater_master,-,6.80,58.08,-42.32
414@and_finally.clearwater_master,415@and_finally.clearwater_master,13.05,67.49,-1.23
415@and_finally.clearwater_master,-,4.32,326.71,0.32
415@and_finally.clearwater_master,-,6.26,157.15,-1.79
415@and_finally.clearwater_master,-,6.17,339.62,86.37
415@and_finally.clearwater_master,-,1.02,332.92,-54.12
415@and_finally.clearwater_master,416@and_finally.clearwater_master,17.91,68.12,39.17
416@and_finally.clearwater_master,-,7.41,318.23,-7.20
416@and_finally.clearwater_master,-,0.99,136.03,37.15
416@and_finally.clearwater_master,-,1.99,13.48,72.56
416@and_finally.clearwater_master,-,0.99,342.78,-79.59
416@and_finally.clearwater_master,417@and_finally.clearwater_master,7.70,73.71,27.45
417@and_finally.clearwater_master,-,2.83,342.88,14.87
417@and_finally.clearwater_master,-,1.20,132.74,-1.10
417@and_finally.clearwater_master,-,1.91,102.76,83.47
417@and_finally.clearwater_master,-,1.49,110.44,-76.67
417@and_finally.clearwater_master,418@and_finally.clearwater_master,6.21,36.98,-25.43
418@and_finally.clearwater_master,-,2.90,346.19,-11.56
418@and_finally.clearwater_master,-,1.03,111.48,-24.93
418@and_finally.clearwater_master,-,0.67,2.60,53.77
418@and_finally.clearwater_master,-,0.62,338.85,-66.57
418@and_finally.clearwater_master,-,12.70,329.92,75.21
418@and_finally.clearwater_master,419@and_finally.clearwater_master,3.52,44.36,-33.66
419@and_finally.clearwater_master,420@and_finally.clearwater_master,12.24,343.39,72.99
419@and_finally.clearwater_master,-,7.90,343.58,70.95
419@and_finally.clearwater_master,-,0.47,359.32,-26.13
287@creedence.clearwater_master,-,6.01,276.25,6.65
287@creedence.clearwater_master,-,14.08,71.18,22.38
287@creedence.clearwater_master,-,7.71,141.02,87.09
